id,String,topic,type
1,Which of the following are components of an information system?,Introduction to Information Processing,MC
2,Which of the following is an example of data collection?,Introduction to Information Processing,MC
3,Which of the following personnels is responsible for performing backup of an information system?,Introduction to Information Processing,MC
4,Which of the following is not a valid way to improve students' information literacy?,Introduction to Information Processing,MC
5,Which of the following is/are (a) method(s) of control that ensures the reasonableness of the data input?,Data Organisation and Data Control,MC
6,The same parity check has been applied in the transmission of the following 8-bit data. One of the data received is erroneous. Which one is it?,Data Organisation and Data Control,MC
7,"There are 60,000 employees in a company. What is the minimum number of bits to represent the staff ID of all employees?",Number System,MC
8,The following binary numbers are represented in 8-bit two's complement. Arrange thefollowing numbers in ascending order.,Number System,MC
9,Which of the following statements regarding character coding system is/are correct?,Number System,MC
10,"The following is a 6x6 display board. Each pixel, represented by 2 bits each, has 4 states:red, green, blue, and off. How many patterns can this display board illustrate?",Number System,MC
11,The following are 3 arithmetic operations on 2 8-bits numbers using two's complement representation. Which of the following will result in (an) overflow error(s)?,Number System,MC
12,"When creating a database table to store students' information, Peter does not use the students' telephone number as the primary key. Why not?",Data Organisation and Data Control,MC
13,"In a system, 2 bytes and 4 bytes are used to stored a character and an integer respectively. How many bytes are required to store the string ""ROAST 101"" ?",Number System,MC
14,An old display only supports displaying 256 colours. How many bits are required to represent 256 colours?,Number System,MC
15,A gym room uses an 8-digit number to represent the membership number. The first 2 digit represents the year the member joins the gym room. What are the maximum number of members that can be join in year 2021 ?,Number System,MC
16,"Given that the ASCII code for the character 'J' is 4A, the ASCII code 47 represents the character (ANS).",Number System,MC
17,Which of the following statements regarding character encoding is/are correct?,Number System,MC
18,"Using sign-and-magnitude, what is the smallest number that can be represented by 4 bits?",Number System,MC
19,Which of the following is a reason of representing number in hexadecimal instead of binary?,Number System,MC
20,Which of the following 8-bit two's complement representation represents a negative even number?,Number System,MC
21,Give the difference between data and information.,Introduction to Information Processing,LQ
22,Briefly describe the responsibility of a system analyst.,Introduction to Information Processing,LQ
23,"For each of the arithmetic operations, determine the result if 8-bit two's complement is used. Write down the decimal representation of the result, or ""O/F"" if an overflow error occurs.",Number System,LQ
24,James is designing a web site for his company based in the United Kingdom. He is deciding which character encoding system he should use. Give an advantage of using Unicode for his web site. Give a disadvantage of using Unicode for his web site.,Number System,LQ
25,He is designing a member registration page for the web site. The following shows a snippet of the registration form. Explain the purpose of asking the user to re-enter their password during registration.,Data Organisation and Data Control,LQ
26,"He is designing a member registration page for the web site. The following shows a snippet of the registration form. Because of the relevant laws, users must be at least 16 years old to be allowed to register. Suggest a method so that James can control the registration.",Data Organisation and Data Control,LQ
